idDatosGrasas,codigoGrasa,Aceite Base,Espesante,Grado NLGI Consistencia,Viscosidad del Aceite Base a 40�C. cSt,"Penetraci�n de Cono a 25�C, 0.1mm","Punto de Gota, �C","Estabilidad Mec�nica, %","Punto de Soldadura Cuatro Bolas, kgf","Desgaste Cuatro Bolas, mm",Indice de Carga-Desgaste,"Carga Timken Ok, lb","Resistencia al Lavado por Agua a 80�C, %",Corrion EMCOR,Corrosi�n al Cobre,Prueba FZG,Registro NSF,"Solidos Totales, %","Tama�o de Particula, �",Bombeabilidad,Clasificacion ISO 6743-9,"Presion de Flujo a -30�C, mbar","Separacion del Aceite, %",Prevencion a la Corrosion,Estabilidad a la Oxidacion,Resistencia a la Humedad,pH,Factor de Torque,"Viscosidad Din�mica a 25�C, cP",Biodegradabilidad en 28 dias (> 60%),Factor de Velocidad,"Temperatura de Servicio �C, min","Temperatura de Servicio �C, max",categoria,subtitulo,descripcion,beneficios,aplicaciones,color,textura
11,Grasa_11,Mineral HT,Complejo Sulfonato de Calcio,2,800,269,304,1.5,900,0.5,166,70,2.8,,1a,,,,,,,,,,,,,,,,300000,-8,150,Grasa,Grasa para lubricación de equipo pesado.,"El producto es una grasa lubricante de gran adherencia y consistencia, con excelente resistencia al lavado de agua y alto soporte de carga extrema. 
La composición de los aceites y la base de jabón complejo sulfonato de calcio proporciona excelente protección anti-desgaste, alto soporte de carga extrema, protección anti-corrosiva en medios químicamente agresivos, así como una excelente estabilidad mecánica, contiene 5% de lubricantes sólidos para brindar una mayor resistencia a la película lubricante en condiciones extremas.","Extremo soporte de carga.
@Alto contenido de solidos.
@Alto soporte antidesgaste por vibración.
@Adherencia extrema a los mecanismos.
@Protección contra la corrosión.","Lubricación centralizada de equipo pesado.
@Chasis y sistemas centralizados en palas mecánicas.
@Quinta rueda en camiones de carga.
@Rodamientos expuestos a alta carga y vibración.
@Cojinetes de quebradoras de cono.",Negro,Adherente
12,Grasa_12,Mineral HT,Complejo Sulfonato de Calcio,3,800,248,304,3.8,900,0.5,166,70,2.4,,1a,,,,,,,,,,,,,,,,300000,5,150,Grasa,Grasa para lubricación de equipo pesado.,"El producto es una grasa lubricante de gran adherencia y consistencia, con excelente resistencia al lavado de agua y alto soporte de carga extrema. 
La composición de los aceites y la base de jabón complejo sulfonato de calcio proporciona excelente protección anti-desgaste, alto soporte de carga extrema, protección anti-corrosiva en medios químicamente agresivos, así como una excelente estabilidad mecánica, contiene 5% de lubricantes sólidos para brindar una mayor resistencia a la película lubricante en condiciones extremas.","Extremo soporte de carga.
@Alto contenido de solidos.
@Alto soporte antidesgaste por vibración.
@Adherencia extrema a los mecanismos.
@Protección contra la corrosión.","Lubricación centralizada de equipo pesado.
@Chasis y sistemas centralizados en palas mecánicas.
@Quinta rueda en camiones de carga.
@Rodamientos expuestos a alta carga y vibración.
@Cojinetes de quebradoras de cono.",Negro,Adherente
13,Grasa_13,Mineral Refinado,Complejo Sulfonato de Calcio,1,460,320,304,0.8,500,,,60,0.4,,,,,,,,L-XBCEB 1,,,,,,,,,,,-20,190,Grasa,"Grasa de servicio pesado para alta temperatura, larga duración y resistente al lavado por agua.","El producto es una grasa lubricante de servicio pesado, espesada con un novedoso jabón de complejo sulfonato de calcio que por su naturaleza es altamente resistente a la oxidación, la corrosión y al lavado por agua, posee excelentes propiedades de lubricación en condiciones de cargas severas y de extrema presión, junto con su propiedad de sellar eficazmente contra influencias ambientales y en especial del agua.","Alta estabilidad térmica y anti-oxidante.
@Excelente estabilidad de trabajo mecánico.
@Alta resistencia a extrema presión y desgaste.
@Excelente protección contra corrosión y herrumbre.
@Alta adherencia a las partes metálicas en movimiento.
@Excelentes características de lavado por agua y sellado del rodamiento.","El producto puede usarse en aplicaciones de alta temperatura y en condiciones de trabajos severos por cargas mecánicas debido a su capacidad de carga y propiedades de extrema presión inherentes.
@Para la lubricación de rodamientos, chumaceras, cojinetes, y otro tipo de mecanismos que trabajen en condiciones adversas y trabajo severo. 
@En las industrias minera, siderúrgica, papelera, cementera, automotriz, embotelladora, etc.
@La versión El producto Moly se recomienda para aplicaciones donde existen vibraciones e impactos.",Café Claro,Suave
14,Grasa_14,Mineral Refinado,Complejo Sulfonato de Calcio,2,460,280,304,0.8,500,,,60,0.4,,,,,,,,L-XBCEB 2,,,,,,,,,,,-20,190,Grasa,"Grasa de servicio pesado para alta temperatura, larga duración y resistente al lavado por agua.","El producto es una grasa lubricante de servicio pesado, espesada con un novedoso jabón de complejo sulfonato de calcio que por su naturaleza es altamente resistente a la oxidación, la corrosión y al lavado por agua, posee excelentes propiedades de lubricación en condiciones de cargas severas y de extrema presión, junto con su propiedad de sellar eficazmente contra influencias ambientales y en especial del agua.","Alta estabilidad térmica y anti-oxidante.
@Excelente estabilidad de trabajo mecánico.
@Alta resistencia a extrema presión y desgaste.
@Excelente protección contra corrosión y herrumbre.
@Alta adherencia a las partes metálicas en movimiento.
@Excelentes características de lavado por agua y sellado del rodamiento.","El producto puede usarse en aplicaciones de alta temperatura y en condiciones de trabajos severos por cargas mecánicas debido a su capacidad de carga y propiedades de extrema presión inherentes.
@Para la lubricación de rodamientos, chumaceras, cojinetes, y otro tipo de mecanismos que trabajen en condiciones adversas y trabajo severo. 
@En las industrias minera, siderúrgica, papelera, cementera, automotriz, embotelladora, etc.
@La versión El producto Moly se recomienda para aplicaciones donde existen vibraciones e impactos.",Café Claro,Suave
15,Grasa_15,Mineral,Complejo Sulfonato de Calcio,2,700,266 - 295,290,< 10,315,,,60,< 3,,,,,,,Buena,,,,,,,,,,,,-15,150,Grasa,Grasa lubricante para condiciones extremas.,"El producto es una grasa lubricante elaborada con una mezcla de bases minerales espesada con complejo sulfonato de calcio el cual por su naturaleza le provee una extraordinaria resistencia térmica y antioxidante y con una configuración de aditivos anti-oxidantes, anti-corrosivos, anti-herrumbrantes, anti-desgaste y de extrema presión que le permite mantener una excelente lubricidad y soporte de carga extrema en condiciones criticas.","Alta estabilidad térmica y anti-oxidante.
@Excelentes características de lavado por agua.
@Alta resistencia a extrema presión y desgaste.
@Excelente protección contra corrosión y herrumbre.
@Alta adherencia a las partes metálicas en movimiento.","Rodamientos expuestos a alta temperatura y cargas mecánicas.
@Rodamientos de trenes de laminado de metales.
@Rodamientos en condiciones de extremo lavado por agua.",Beige,Adherente
16,Grasa_16,,,2,,270,295,5,,,,,1,,,,,,,,,,,,,,,,,,150000,-10,150,Grasa,Grasa lubricante sellante para válvulas de servicio en larga duración resistentes a gas natural y L.P.,"El producto es una grasa de efecto sellante con una mezcla de aceites bases altamente refinados, aditivos de anti-desgaste y compuestos adherentes para la lubricación y sellado de válvulas tipo macho.","Resistencia a gas natural y gas L.P.
@Gran capacidad de sellado.
@Excepcional efecto deslizante y anti-desgaste.
@Larga vida de operación.
@Excelente comportamiento en temperatura ambiente extremas.","Por su acción deslizante, lubricante y sellante su uso es muy adecuado en válvulas tipo de estufa, reguladores de gas y termo reguladores de gas Natural y gas L.P.",Ambar,Suave Adhesiva
17,Grasa_17,Mineral USP,Complejo de Aluminio,2,480,275,260,4,250,0.6,,40,2,,,,164358,,,,,,,,,,,,,,350000,-5,180,Grasa,Grasa de alta resistencia para industria alimenticia y farmacéutica.,"El producto es una grasa lubricante formulada con una base altamente resistente a la humedad y medios químicos, comúnmente utilizados en la industria alimenticia, se recomienda para aplicaciones especiales y generales en la industria alimenticia, es resistente a altas temperaturas, condiciones de humedad, vapores y desinfectantes.
@El producto está aprobada por NSF como lubricante tipo H1 para contacto incidental con alimentos.","Excelente resistencia contra la humedad.
@Alta soporte de temperatura.
@Excelentes propiedades anti-desgaste.
@Desempeño sobresaliente en mediana velocidad.","Lubricación de rodamientos en condiciones extremas de contaminación.
@Rodamientos expuestos a media velocidad.
@Para cojinetes lisos en baja velocidad.",Blanco,Suave
18,Grasa_18,,Silica,2,680,280,No Gotea,8,800,,,,5,,,,,,,,,,,,,,,,,,,5,210,Grasa,Grasa lubricante para rodamientos de peletizadoras de madera.,"El producto es una grasa lubricante que posee excelentes propiedades de lubricación en condiciones de alta temperatura y extrema presión.
Especialmente diseñada para soportar condiciones de alta fricción y temperatura en las peletizadoras de madera, contiene un conjunto de aditivos y lubricantes sólidos que le permiten mantener condiciones lubricantes de emergencia bajo condiciones de carga, fricción y vibración, es altamente estable a la temperatura no perdiendo su estructura con los cambios.","Alta estabilidad térmica y antioxidante.
@Excelente estabilidad de trabajo mecánico.
@Resistencia a extrema presión y desgaste.
@Excelente protección contra corrosión y herrumbre.
@Alta adherencia a las partes metálicas en movimiento.
@Excelentes características de sellado del rodamiento.","Especialmente diseñada para la lubricación de rodamientos de mediana a alta velocidad, en peletizadoras de madera.
@Cuenta con un excelente desempeño en la lubricación de rodamientos, guías, correderas, bujes, engranes pequeños y elementos mecánicos.",Beige,Adherente
19,Grasa_19,,Silica,2,680,240,304,9.8,315,,,40,5,,,,,,,,,,,,,,,,,,,0,240,Grasa,Grasa para alta temperatura y larga duración.,"El producto es una grasa lubricante que posee excelentes propiedades de lubricación en condiciones de alta temperatura así como extrema presión.
Especialmente diseñada para soportar condiciones de extrema temperatura por largos periodos en las cuales las grasas convencionales de jabón no son funcionales a 240ºC, es altamente estable a la temperatura no perdiendo su estructura con los cambios.","Alta estabilidad térmica y antioxidante.
@Excelente estabilidad de trabajo mecánico.
@Resistencia a extrema presión y desgaste.
@Excelente protección contra corrosión y herrumbre.
@Alta adherencia a las partes metálicas en movimiento.
@Excelentes características de lavado por agua y sellado del rodamiento.",Lubricante de uso general para cojinetes y rodamientos de bolas o de rodillos expuestos a temperaturas hasta 240ºC.,Ambar,Suave
20,Grasa_20,Mineral HT,Complejo de Litio,1.2,400,290 - 310,235,,250,,,,,0/0,,,,,,,,800,< 5,,,< 0.5,,,,,,-25,150,Grasa,Grasa adherente para mecanismos automotrices.,"El producto  Grasa Lubricante con gran adherencia, excelente resistencia a la humedad, Extrema Presión y temperaturas bajas y altas.
La composición de su aceite básico hidrotratado, espesante de complejo de litio  y aditivada con microparticulas que le proveen de mayor protección contra el desgaste, la corrosión además de excelente estabilidad al trabajo mecánico.","Adhesión extrema a elementos mecánicos.
@Alta protección contra la corrosión.
@Excelente resistencia a la oxidación.
@Soporte de carga extremo.
@Sobresaliente resistencia al lavado por agua.
@Buen flujo en baja temperatura.","Mecanismos expuestos a medio ambiente.
@Rodamientos de ruedas.
@Acoplamientos.
@Terminales de dirección.
@Pivotes de Suspensión.",Beige Claro,Adherente
21,Grasa_21,Mineral,Complejo de Aluminio,0,220,460,110,,315,,,40,,,,,,,,,,,,,,,,,,,300000,-5,160,Grasa,Grasa especial para la industria alimenticia y farmacéutica.,"El producto es una grasa lubricante para aplicaciones generales en la industria alimenticia, es resistente a condiciones de humedad, vapores y desinfectantes utilizados en estas industrias.
El producto está aprobada por NSF como lubricante tipo H1 para contacto incidental con alimentos.","El producto tiene excelente desempeño en la lubricación de guías, correderas, bujes y elementos mecánicos.
@El producto es poco reactiva y totalmente neutra a materiales orgánicos e inorgánicos, metales ferrosos, blandos, plásticos y cauchos.","El producto está especialmente diseñada para la lubricación de rodamientos de mediana y baja velocidad, en los cuales eventualmente, se pudiera tener perdida de lubricante y este ultimo entre en contacto con los alimentos.
@Generalmente se recomienda El producto 0, 00 y 000 para aplicarse en sistemas centralizados de lubricación y por inmersión para lubricar engranes y rodamientos que así lo requieran.",Blanco,Suave
22,Grasa_22,Mineral USP,Complejo de Aluminio,1,100,320,255,3.2,250,,,40,3,,,,,,,,,,,,,,,,,,900000,-10,160,Grasa,Grasa especial para la industria alimenticia y farmacéutica.,"El producto es una grasa lubricante para aplicaciones generales en la industria alimenticia,  resistente a condiciones de humedad, vapores y desinfectantes utilizados en la estas industrias.
El producto cumple con los lineamientos de la NSF (National Sanitation Foundation) como lubricante tipo H1 para contacto incidental con alimentos.","Evita la formación de grumos en rodamientos.
@Evita el escurrimiento inhibiendo la contaminación.
@Disminuye el consumo de lubricante.
@Alta resistencia a la humedad.
@Excelentes propiedades antidesgaste.
@Desempeño sobresaliente en mediana y alta velocidad.","El producto está especialmente diseñada para la lubricación de rodamientos de mediana y alta velocidad en los cuales eventualmente se pudiera tener perdida de lubricante y este ultimo entrar en contacto con el alimento.
@El producto tiene excelente desempeño en la lubricación de guías, correderas, bujes y elementos mecánicos, es poco reactiva y totalmente neutra a materiales orgánicos e inorgánicos, metales ferrosos, blandos, plásticos y cauchos.",Blanco,Suave
23,Grasa_23,Mineral USP,Complejo de Aluminio,2,100,275,255,3.2,250,,,40,3,,,,,,,,,,,,,,,,,,900000,-10,160,Grasa,Grasa especial para la industria alimenticia y farmacéutica.,"El producto es una grasa lubricante para aplicaciones generales en la industria alimenticia,  resistente a condiciones de humedad, vapores y desinfectantes utilizados en la estas industrias.
El producto cumple con los lineamientos de la NSF (National Sanitation Foundation) como lubricante tipo H1 para contacto incidental con alimentos.","Evita la formación de grumos en rodamientos.
@Evita el escurrimiento inhibiendo la contaminación.
@Disminuye el consumo de lubricante.
@Alta resistencia a la humedad.
@Excelentes propiedades antidesgaste.
@Desempeño sobresaliente en mediana y alta velocidad.","El producto está especialmente diseñada para la lubricación de rodamientos de mediana y alta velocidad en los cuales eventualmente se pudiera tener perdida de lubricante y este ultimo entrar en contacto con el alimento.
@El producto tiene excelente desempeño en la lubricación de guías, correderas, bujes y elementos mecánicos, es poco reactiva y totalmente neutra a materiales orgánicos e inorgánicos, metales ferrosos, blandos, plásticos y cauchos.",Blanco,Suave
24,Grasa_22,Mineral USP,Complejo de Aluminio,3,100,245,255,3.2,250,,,40,3,,,,,,,,,,,,,,,,,,750000,-5,160,Grasa,Grasa especial para la industria alimenticia y farmacéutica.,"El producto es una grasa lubricante para aplicaciones generales en la industria alimenticia,  resistente a condiciones de humedad, vapores y desinfectantes utilizados en la estas industrias.
El producto cumple con los lineamientos de la NSF (National Sanitation Foundation) como lubricante tipo H1 para contacto incidental con alimentos.","Evita la formación de grumos en rodamientos.
@Evita el escurrimiento inhibiendo la contaminación.
@Disminuye el consumo de lubricante.
@Alta resistencia a la humedad.
@Excelentes propiedades antidesgaste.
@Desempeño sobresaliente en mediana y alta velocidad.","El producto está especialmente diseñada para la lubricación de rodamientos de mediana y alta velocidad en los cuales eventualmente se pudiera tener perdida de lubricante y este ultimo entrar en contacto con el alimento.
@El producto tiene excelente desempeño en la lubricación de guías, correderas, bujes y elementos mecánicos, es poco reactiva y totalmente neutra a materiales orgánicos e inorgánicos, metales ferrosos, blandos, plásticos y cauchos.",Blanco,Suave
25,Grasa_24,Mineral USP,,1,220,315,260,3.9,300,,,40,2.5,,,,,,,,,,,,,,,,,,500000,-5,160,Grasa,Grasa especial para la industria alimenticia y farmacéutica.,"El producto es una grasa lubricante para aplicaciones en la industria alimenticia,  en donde se requiere una alta resistencia a condiciones de humedad, vapores ácidos y desinfectantes utilizados en la industria alimenticia. 
Los componentes con los que se utilizan en su elaboración cumplen con las especificaciones marcadas por la FDA como lubricante para contacto accidental con alimentos según el CFR (Code of Federal Regulations, 21 Parts 170-19 Food additives and related regulations) .","Evita la formación de grumos en rodamientos.
@Evita el escurrimiento inhibiendo la contaminación.
@Disminuye el consumo de lubricante.
@Alta resistencia a la humedad.
@Excelentes propiedades antidesgaste.
@Desempeño sobresaliente en mediana y alta velocidad.","El producto esta especialmente diseñada para la lubricación de rodamientos de mediana y baja velocidad en los cuales eventualmente se pudiera tener perdida de lubricante y este ultimo entrar en contacto con el alimento.
@El producto  tiene excelente desempeño en la lubricación de guías, correderas, bujes y elementos mecánicos en los cuales las condiciones de contaminación sean extremas.
@El producto es poco reactiva y totalmente neutra a materiales orgánicos e inorgánicos, metales ferrosos, blandos, plásticos y cauchos.",Cristalino,Suave
26,Grasa_25,Mineral USP,,2,220,270,270,6.3,300,,,40,2.5,,,,,,,,,,,,,,,,,,350000,-5,160,Grasa,Grasa especial para la industria alimenticia y farmacéutica.,"El producto es una grasa lubricante para aplicaciones en la industria alimenticia,  en donde se requiere una alta resistencia a condiciones de humedad, vapores ácidos y desinfectantes utilizados en la industria alimenticia. 
Los componentes con los que se utilizan en su elaboración cumplen con las especificaciones marcadas por la FDA como lubricante para contacto accidental con alimentos según el CFR (Code of Federal Regulations, 21 Parts 170-19 Food additives and related regulations) .","Evita la formación de grumos en rodamientos.
@Evita el escurrimiento inhibiendo la contaminación.
@Disminuye el consumo de lubricante.
@Alta resistencia a la humedad.
@Excelentes propiedades antidesgaste.
@Desempeño sobresaliente en mediana y alta velocidad.","El producto esta especialmente diseñada para la lubricación de rodamientos de mediana y baja velocidad en los cuales eventualmente se pudiera tener perdida de lubricante y este ultimo entrar en contacto con el alimento.
@El producto  tiene excelente desempeño en la lubricación de guías, correderas, bujes y elementos mecánicos en los cuales las condiciones de contaminación sean extremas.
@El producto es poco reactiva y totalmente neutra a materiales orgánicos e inorgánicos, metales ferrosos, blandos, plásticos y cauchos.",Cristalino,Suave
